sample_id	total_mutations	bin_label	sbs3_relative_exposure_true	recovered_exome_normalized	recovered_no_normalization	abs_error_normalized	abs_error_no_normalization	normalization_improves
SIM-07194	41	[35,45)	0.102	0.0	0.0	0.102	0.102	False
SIM-07197	86	[85,95)	0.1549	0.0	0.0	0.1549	0.1549	False
SIM-07201	34	[25,35)	0.286	0.0	0.0	0.286	0.286	False
SIM-07206	97	[95,105)	0.2256	0.0	0.0	0.2256	0.2256	False
SIM-07208	49	[45,55)	0.2616	0.0	0.0	0.2616	0.2616	False
SIM-07255	31	[25,35)	0.0686	0.0	0.0	0.0686	0.0686	False
SIM-07265	101	[95,105)	0.1536	0.0	0.0	0.1536	0.1536	False
SIM-07279	45	[45,55)	0.0288	0.0	0.0	0.0288	0.0288	False
SIM-07280	29	[25,35)	0.0211	0.0	0.0	0.0211	0.0211	False
SIM-07295	27	[25,35)	0.1535	0.0	0.0	0.1535	0.1535	False
SIM-07297	91	[85,95)	0.1333	0.0	0.0	0.1333	0.1333	False
SIM-07364	111	[105,116)	0.0408	0.0	0.0	0.0408	0.0408	False
SIM-07386	50	[45,55)	0.1424	0.0	0.0	0.1424	0.1424	False
SIM-07444	53	[45,55)	0.1181	0.471698	0.0	0.353598	0.1181	False
SIM-07485	76	[75,85)	0.0	0.0	0.0	0.0	0.0	False
SIM-07498	41	[35,45)	0.0	0.0	0.0	0.0	0.0	False
SIM-07506	46	[45,55)	0.3851	0.0	0.0	0.3851	0.3851	False
SIM-07507	38	[35,45)	0.3022	0.0	0.0	0.3022	0.3022	False
SIM-07540	23	[15,25)	0.1512	0.0	0.0	0.1512	0.1512	False
SIM-07541	76	[75,85)	0.1346	0.0	0.0	0.1346	0.1346	False
SIM-07561	24	[15,25)	0.1193	0.0	0.0	0.1193	0.1193	False
SIM-07574	51	[45,55)	0.1562	0.0	0.0	0.1562	0.1562	False
SIM-07580	64	[55,65)	0.2086	0.0	0.0	0.2086	0.2086	False
SIM-07586	68	[65,75)	0.0408	0.0	0.0	0.0408	0.0408	False
SIM-07629	87	[85,95)	0.1895	0.0	0.0	0.1895	0.1895	False
SIM-07683	64	[55,65)	0.0	0.0	0.0	0.0	0.0	False
SIM-07724	59	[55,65)	0.2716	0.0	0.0	0.2716	0.2716	False
SIM-07748	96	[95,105)	0.2394	0.0	0.0	0.2394	0.2394	False
SIM-07758	68	[65,75)	0.0843	0.0	0.0	0.0843	0.0843	False
SIM-07788	45	[45,55)	0.0057	0.0	0.0	0.0057	0.0057	False
SIM-07804	77	[75,85)	0.1179	0.0	0.0	0.1179	0.1179	False
SIM-07921	73	[65,75)	0.1461	0.0	0.0	0.1461	0.1461	False
SIM-08029	77	[75,85)	0.115	0.0	0.0	0.115	0.115	False
SIM-08057	98	[95,105)	0.0389	0.0	0.0	0.0389	0.0389	False
SIM-08060	89	[85,95)	0.0	0.0	0.0	0.0	0.0	False
SIM-08113	35	[35,45)	0.1525	0.0	0.0	0.1525	0.1525	False
SIM-08195	24	[15,25)	0.097	0.0	0.0	0.097	0.097	False
SIM-08205	73	[65,75)	0.1984	0.0	0.0	0.1984	0.1984	False
SIM-08217	39	[35,45)	0.042	0.0	0.0	0.042	0.042	False
SIM-08231	46	[45,55)	0.2024	0.0	0.0	0.2024	0.2024	False
SIM-08247	43	[35,45)	0.1393	0.0	0.0	0.1393	0.1393	False
SIM-08320	66	[65,75)	0.0203	0.0	0.0	0.0203	0.0203	False
SIM-08338	86	[85,95)	0.2855	0.0	0.0	0.2855	0.2855	False
SIM-08352	97	[95,105)	0.0546	0.0	0.0	0.0546	0.0546	False
SIM-08362	95	[95,105)	0.0	0.0	0.0	0.0	0.0	False
SIM-08392	86	[85,95)	0.1986	0.0	0.0	0.1986	0.1986	False
SIM-08414	91	[85,95)	0.1678	0.0	0.0	0.1678	0.1678	False
SIM-08427	77	[75,85)	0.0663	0.0	0.0	0.0663	0.0663	False
SIM-08434	85	[85,95)	0.0	0.0	0.0	0.0	0.0	False
SIM-08456	29	[25,35)	0.1528	0.0	0.0	0.1528	0.1528	False
SIM-08474	103	[95,105)	0.0425	0.0	0.0	0.0425	0.0425	False
SIM-08518	68	[65,75)	0.25	0.0	0.0	0.25	0.25	False
SIM-08590	42	[35,45)	0.0	0.0	0.0	0.0	0.0	False
SIM-08594	25	[25,35)	0.2526	0.0	0.0	0.2526	0.2526	False
SIM-08606	86	[85,95)	0.1341	0.0	0.0	0.1341	0.1341	False
SIM-08756	66	[65,75)	0.0129	0.0	0.0	0.0129	0.0129	False
SIM-08790	67	[65,75)	0.156	0.0	0.0	0.156	0.156	False
SIM-08834	21	[15,25)	0.1883	0.0	0.0	0.1883	0.1883	False
SIM-08859	90	[85,95)	0.2684	0.0	0.0	0.2684	0.2684	False
SIM-08869	33	[25,35)	0.0496	0.0	0.0	0.0496	0.0496	False
SIM-08879	85	[85,95)	0.1271	0.0	0.0	0.1271	0.1271	False
SIM-08889	79	[75,85)	0.1338	0.0	0.0	0.1338	0.1338	False
SIM-08932	82	[75,85)	0.3158	0.512195	0.0	0.196395	0.3158	True
SIM-08967	36	[35,45)	0.3287	0.0	0.0	0.3287	0.3287	False
SIM-09016	24	[15,25)	0.2722	0.0	0.0	0.2722	0.2722	False
SIM-09051	29	[25,35)	0.3308	0.0	0.0	0.3308	0.3308	False
SIM-09100	57	[55,65)	0.1574	0.0	0.0	0.1574	0.1574	False
SIM-09129	90	[85,95)	0.0352	0.0	0.0	0.0352	0.0352	False
SIM-09131	63	[55,65)	0.031	0.0	0.0	0.031	0.031	False
SIM-09162	48	[45,55)	0.148	0.0	0.0	0.148	0.148	False
SIM-09170	78	[75,85)	0.1215	0.0	0.0	0.1215	0.1215	False
SIM-09198	36	[35,45)	0.1675	0.0	0.0	0.1675	0.1675	False
SIM-09265	97	[95,105)	0.1874	0.0	0.0	0.1874	0.1874	False
SIM-09295	42	[35,45)	0.3388	0.0	0.0	0.3388	0.3388	False
SIM-09310	99	[95,105)	0.1207	0.0	0.0	0.1207	0.1207	False
SIM-09381	32	[25,35)	0.3119	0.0	0.0	0.3119	0.3119	False
SIM-09461	98	[95,105)	0.424	0.540816	0.469388	0.116816	0.045388	False
SIM-09467	32	[25,35)	0.2343	0.0	0.0	0.2343	0.2343	False
SIM-09558	59	[55,65)	0.3149	0.0	0.0	0.3149	0.3149	False
SIM-09569	24	[15,25)	0.0782	0.0	0.0	0.0782	0.0782	False
SIM-09573	96	[95,105)	0.1659	0.0	0.0	0.1659	0.1659	False
SIM-09626	31	[25,35)	0.0224	0.0	0.0	0.0224	0.0224	False
SIM-09642	54	[45,55)	0.2408	0.0	0.0	0.2408	0.2408	False
SIM-09683	44	[35,45)	0.2498	0.0	0.0	0.2498	0.2498	False
SIM-09700	62	[55,65)	0.074	0.0	0.0	0.074	0.074	False
SIM-09714	93	[85,95)	0.325	0.0	0.0	0.325	0.325	False
SIM-09722	40	[35,45)	0.1707	0.0	0.0	0.1707	0.1707	False
SIM-09737	29	[25,35)	0.0057	0.0	0.0	0.0057	0.0057	False
SIM-09756	90	[85,95)	0.1798	0.5	0.0	0.3202	0.1798	False
SIM-09772	30	[25,35)	0.1151	0.0	0.0	0.1151	0.1151	False
SIM-09781	54	[45,55)	0.0895	0.0	0.0	0.0895	0.0895	False
SIM-09870	76	[75,85)	0.1417	0.0	0.0	0.1417	0.1417	False
SIM-09883	44	[35,45)	0.066	0.0	0.0	0.066	0.066	False
SIM-09931	78	[75,85)	0.1771	0.294872	0.0	0.117772	0.1771	True
