"tumor","exp_sig3","rat_sig3","sig_max_wl","max_wl"
"SIM-05583",0,0,"Signature_5",0.999791672647169
"SIM-05584",17.3640677272501,0.361751410984377,"Signature_3",0.995991805096351
"SIM-05585",0,0,"Signature_5",0.999999975100399
"SIM-05586",12.4426781590317,0.207377969317195,"Signature_5",0.999698666328762
"SIM-05587",41.2689568694965,0.485517139641136,"Signature_3",0.997840711716667
"SIM-05588",41.2380863402541,0.71100148862507,"Signature_3",0.999999999433809
"SIM-05589",17.7646329226347,0.322993325866086,"Signature_3",0.999240639956064
"SIM-05590",0,0,"Signature_5",0.999992852561858
"SIM-05591",7.95647992104083,0.162377141245731,"Signature_3",0.649368959248797
"SIM-05592",3.81763335766717,0.050901778102229,"Signature_5",0.99996841479729
"SIM-05593",36.0161970989723,0.666966612943932,"Signature_3",0.999999998577277
"SIM-05594",17.4467978629031,0.329184865337794,"Signature_5",0.725733328444887
"SIM-05595",7.18996241671072,0.179749060417768,"Signature_5",0.999939240310291
"SIM-05596",13.720577279994,0.280011781224368,"Signature_5",0.993059411670906
"SIM-05597",18.2862267063587,0.240608246136299,"Signature_3",0.5577440119391
"SIM-05598",24.6745798371602,0.456936663651114,"Signature_3",0.999999908735777
"SIM-05599",16.4709816288856,0.350446417635863,"Signature_5",0.808085694094062
"SIM-05600",18.8991034777503,0.295298491839849,"Signature_5",0.990828442668983
"SIM-05601",0,0,"Signature_5",0.999915721118618
"SIM-05602",9.55750951386114,0.265486375385032,"Signature_3",0.930332849004433
"SIM-05603",30.340826634504,0.370010080908585,"Signature_3",0.732690179115973
"SIM-05604",0.211648087135138,0.00814031104365915,"Signature_5",0.987910613534587
"SIM-05605",0.291184317800839,0.00606633995418415,"Signature_5",0.999999991217616
"SIM-05606",23.1272822280462,0.398746245311141,"Signature_3",0.882039549958688
"SIM-05607",6.56509262096375,0.123869672093656,"Signature_5",0.999418781793882
"SIM-05608",39.4147896201006,0.42381494215162,"Signature_3",0.999987128755727
"SIM-05609",18.5065927278055,0.319079184962164,"Signature_5",0.999474870175358
"SIM-05610",25.5340320538396,0.521102694976317,"Signature_5",0.99799697568678
"SIM-05611",9.09430882917456,0.156798428089217,"Signature_5",0.999999999999841
"SIM-05612",17.4921905467478,0.265033190102239,"Signature_5",0.99997572766378
"SIM-05613",2.45199707644304,0.0490399415288609,"Signature_5",0.999957006868164
"SIM-05614",8.36960710069039,0.181947980449791,"Signature_5",0.998933701069383
"SIM-05615",0,0,"Signature_5",0.999999999956252
"SIM-05616",0,0,"Signature_5",0.999785777076489
"SIM-05617",32.2417792507879,0.403022240634849,"Signature_3",0.999982003858995
"SIM-05618",2.75177008415898,0.0743721644367291,"Signature_5",0.999996251134621
"SIM-05619",10.9475962418022,0.140353797971823,"Signature_5",0.999999999584736
"SIM-05620",0,0,"Signature_5",0.999999990112313
"SIM-05621",15.500520880735,0.221436012581928,"Signature_3",0.588469343994427
"SIM-05622",21.4882407705187,0.488369108420879,"Signature_3",0.998980276898414
"SIM-05623",28.2681707282717,0.403831010403882,"Signature_3",0.996108302099304
"SIM-05624",20.8724076929248,0.316248601407951,"Signature_3",0.999442963285407
"SIM-05625",34.0601091348158,0.493624770069794,"Signature_3",0.998357798431012
"SIM-05626",22.7286205033537,0.505080455630082,"Signature_3",0.91232377069971
"SIM-05627",15.3398539604796,0.300781450205483,"Signature_5",0.999732976764092
"SIM-05628",0,0,"Signature_5",0.999999980356942
"SIM-05629",22.6738066515232,0.404889404491486,"Signature_3",0.989066156535824
"SIM-05630",0,0,"Signature_5",0.999990271973727
"SIM-05631",21.8293116490581,0.272866395613227,"Signature_5",0.522078235863892
"SIM-05632",17.0746374908405,0.397084592810244,"Signature_3",0.999999979037228
"SIM-05633",14.4290330693941,0.272245906969701,"Signature_3",0.80651837894178
"SIM-05634",38.0644834948999,0.585607438383075,"Signature_3",0.999987686007132
"SIM-05635",2.71860763703586,0.0554817885109359,"Signature_5",0.999999491562205
"SIM-05636",0,0,"Signature_5",0.999999856305214
"SIM-05637",4.24457261742184,0.0744661862705586,"Signature_5",0.999999937148426
"SIM-05638",9.59237709080807,0.233960416848977,"Signature_3",0.999957926547131
"SIM-05639",14.2398798199962,0.323633632272641,"Signature_3",0.992777150141085
"SIM-05640",26.1156266755285,0.474829575918701,"Signature_5",0.573440713932856
"SIM-05641",28.2880379447338,0.325149861433722,"Signature_5",0.999999977509589
"SIM-05642",4.48242149520095,0.109327353541487,"Signature_5",0.990719207646615
"SIM-05643",24.8179907568472,0.427896392359435,"Signature_3",0.99999999792997
"SIM-05644",22.5967856300761,0.327489646812698,"Signature_5",0.999911551294388
"SIM-05645",17.7878413341397,0.317640023823923,"Signature_3",0.999968547816977
"SIM-05646",11.8731510438658,0.17989622793736,"Signature_3",0.548027987223714
"SIM-05647",3.97349901414762,0.128177387553149,"Signature_5",0.866432777861257
"SIM-05648",19.1707708615269,0.383415417230537,"Signature_3",0.999980154569201
"SIM-05649",13.9729132128872,0.279458264257743,"Signature_5",0.99995538434855
"SIM-05650",15.7567054611047,0.258306646903355,"Signature_5",0.997351746247449
"SIM-05651",0,0,"Signature_5",0.999999996460272
"SIM-05652",13.2308679030197,0.206732310984683,"Signature_5",0.999997428581544
"SIM-05653",17.1334458899974,0.290397387966057,"Signature_3",0.999389881503588
