cosmic_version	hrd_column	n_samples	n_excluded_zero_true_exposure	mean_true_exposure	mean_recovered_hrd_exposure	mean_recovery_gap	mean_bg_fraction_of_true_signal	mean_sbs40_fraction_of_true_signal
2	Signature_3	382	64	0.149267	0.096693	0.052574	0.043478	0.0
3	SBS3	382	64	0.149267	0.042519	0.106748	0.902747	0.051903
3.1	SBS3	382	64	0.149267	0.040878	0.108388	0.890824	0.048443
3.2	SBS3	382	64	0.149267	0.041966	0.1073	0.881839	0.045139
3.3	SBS3	382	64	0.149267	0.041966	0.1073	0.881839	0.045139
3.4	SBS3	382	64	0.149267	0.024823	0.124444	0.892713	0.073463
3.6	SBS3	382	64	0.149267	0.020457	0.12881	0.876444	0.056177
