arm	lambda	mixture_lr	injected_value	relative_bias	is_cv_selected_lambda
CORE_HR	0.001	7.277851105430111	5.826333463989027	0.24913054675166083	False
CORE_HR	0.01	7.276201987614677	5.826333463989027	0.24884750119211174	False
CORE_HR	0.03	7.272545851640299	5.826333463989027	0.2482199820161196	False
CORE_HR	0.1	7.259840936319665	5.826333463989027	0.24603937985883503	False
CORE_HR	0.3	7.224290155910329	5.826333463989027	0.23993763840701707	False
CORE_HR	1.0	7.107467195883573	5.826333463989027	0.21988678468420722	False
CORE_HR	3.0	6.821213554812305	5.826333463989027	0.1707557758189365	False
CORE_HR	10.0	6.11587790368714	5.826333463989027	0.04969582353768589	False
CORE_HR	30.0	5.041023914175883	5.826333463989027	-0.1347862347163834	True
CORE_HR	60.0	4.235852333164837	5.826333463989027	-0.2729814798027814	False
CORE_HR	100.0	3.643131264544987	5.826333463989027	-0.3747128812550492	False
CORE_HR	200.0	2.9100452601137192	5.826333463989027	-0.5005357523561065	False
CORE_HR	500.0	2.1478244955924177	5.826333463989027	-0.6313591542833012	False
CORE_HR	1000.0	1.7388457474754735	5.826333463989027	-0.7015540290951757	False
DDR_SIGNALING	0.001	6.643943110876086	5.154487467493152	0.2889628993718982	False
DDR_SIGNALING	0.01	6.643631069986292	5.154487467493152	0.28890236165757416	False
DDR_SIGNALING	0.03	6.642937945430299	5.154487467493152	0.2887678915360801	False
DDR_SIGNALING	0.1	6.640515245819727	5.154487467493152	0.2882978739783984	False
DDR_SIGNALING	0.3	6.63362054077091	5.154487467493152	0.2869602618312551	False
DDR_SIGNALING	1.0	6.609791929929598	5.154487467493152	0.28233737527045	False
DDR_SIGNALING	3.0	6.544008035736851	5.154487467493152	0.26957492418144957	False
DDR_SIGNALING	10.0	6.3345846615359696	5.154487467493152	0.2289455938122106	False
DDR_SIGNALING	30.0	5.855522413787667	5.154487467493152	0.1360047823795482	False
DDR_SIGNALING	60.0	5.332300556517121	5.154487467493152	0.034496754555200654	False
DDR_SIGNALING	100.0	4.831241401559791	5.154487467493152	-0.06271158247486622	True
DDR_SIGNALING	200.0	4.036805634081278	5.154487467493152	-0.21683665746799272	False
DDR_SIGNALING	500.0	2.9519387181922943	5.154487467493152	-0.4273070335685677	False
DDR_SIGNALING	1000.0	2.256927675090667	5.154487467493152	-0.5621431443331635	False
