arm	feature_subset	n_scenario	n_pathogenic	n_benign	n_total	point_estimate	ci_low	ci_high	b_replicates	true_reference_lr	acmg_tier	acmg_points
CORE_HR	LOH_SBS3	SYNTHETIC_SUBTYPE_Basal	328	367	695	30.20607	18.662919	57.642779	500	25.291901	PATHOGENIC_MODERATE	2
CORE_HR	GIS_SBS3	SYNTHETIC_SUBTYPE_Basal	328	367	695	18.498854	10.679693	38.032546	500	20.673365	PATHOGENIC_MODERATE	2
CORE_HR	LOH_GIS_SBS3	SYNTHETIC_SUBTYPE_Normal-like	0	0	0					92.625192	INSUFFICIENT_N	
CORE_HR	LOH_GIS	SYNTHETIC_SUBTYPE_Normal-like	0	0	0					16.408376	INSUFFICIENT_N	
CORE_HR	LOH_SBS3	SYNTHETIC_SUBTYPE_Normal-like	0	0	0					25.291901	INSUFFICIENT_N	
CORE_HR	GIS_SBS3	SYNTHETIC_SUBTYPE_Normal-like	0	0	0					20.673365	INSUFFICIENT_N	
DDR_SIGNALING	LOH_GIS_SBS3	SYNTHETIC_SUBTYPE_LumA	783	851	1634	21.677736	13.556067	37.841156	500	22.794454	PATHOGENIC_MODERATE	2
DDR_SIGNALING	LOH_GIS	SYNTHETIC_SUBTYPE_LumA	783	851	1634	5.346799	3.958845	7.214338	500	5.821263	PATHOGENIC_SUPPORTING	1
DDR_SIGNALING	LOH_SBS3	SYNTHETIC_SUBTYPE_LumA	783	851	1634	8.602173	6.099557	12.926419	500	8.369265	PATHOGENIC_MODERATE	2
DDR_SIGNALING	GIS_SBS3	SYNTHETIC_SUBTYPE_LumA	783	851	1634	10.217057	6.937446	15.085289	500	10.664828	PATHOGENIC_MODERATE	2
DDR_SIGNALING	LOH_GIS_SBS3	SYNTHETIC_SUBTYPE_LumB	470	443	913	15.039178	8.754902	26.521414	500	22.794454	PATHOGENIC_MODERATE	2
DDR_SIGNALING	LOH_GIS	SYNTHETIC_SUBTYPE_LumB	470	443	913	4.998255	3.471848	7.25025	500	5.821263	PATHOGENIC_SUPPORTING	1
DDR_SIGNALING	LOH_SBS3	SYNTHETIC_SUBTYPE_LumB	470	443	913	7.629466	5.137732	13.177277	500	8.369265	PATHOGENIC_MODERATE	2
DDR_SIGNALING	GIS_SBS3	SYNTHETIC_SUBTYPE_LumB	470	443	913	5.931106	3.633244	11.23	500	10.664828	PATHOGENIC_SUPPORTING	1
DDR_SIGNALING	LOH_GIS_SBS3	SYNTHETIC_SUBTYPE_HER2E	225	203	428	19.543279	9.800371	43.260121	500	22.794454	PATHOGENIC_MODERATE	2
DDR_SIGNALING	LOH_GIS	SYNTHETIC_SUBTYPE_HER2E	225	203	428	6.727925	4.100394	11.263095	500	5.821263	PATHOGENIC_SUPPORTING	1
DDR_SIGNALING	LOH_SBS3	SYNTHETIC_SUBTYPE_HER2E	225	203	428	7.462707	4.503135	15.225817	500	8.369265	PATHOGENIC_MODERATE	2
DDR_SIGNALING	GIS_SBS3	SYNTHETIC_SUBTYPE_HER2E	225	203	428	7.607069	4.306511	16.616958	500	10.664828	PATHOGENIC_SUPPORTING	1
DDR_SIGNALING	LOH_GIS_SBS3	SYNTHETIC_SUBTYPE_Basal	370	351	721	20.344139	11.253732	40.010931	500	22.794454	PATHOGENIC_MODERATE	2
DDR_SIGNALING	LOH_GIS	SYNTHETIC_SUBTYPE_Basal	370	351	721	5.523099	3.734796	8.515309	500	5.821263	PATHOGENIC_SUPPORTING	1
DDR_SIGNALING	LOH_SBS3	SYNTHETIC_SUBTYPE_Basal	370	351	721	7.279273	4.552175	13.535009	500	8.369265	PATHOGENIC_MODERATE	2
DDR_SIGNALING	GIS_SBS3	SYNTHETIC_SUBTYPE_Basal	370	351	721	10.29456	5.85907	19.970131	500	10.664828	PATHOGENIC_MODERATE	2
DDR_SIGNALING	LOH_GIS_SBS3	SYNTHETIC_SUBTYPE_Normal-like	0	0	0					22.794454	INSUFFICIENT_N	
DDR_SIGNALING	LOH_GIS	SYNTHETIC_SUBTYPE_Normal-like	0	0	0					5.821263	INSUFFICIENT_N	
DDR_SIGNALING	LOH_SBS3	SYNTHETIC_SUBTYPE_Normal-like	0	0	0					8.369265	INSUFFICIENT_N	
DDR_SIGNALING	GIS_SBS3	SYNTHETIC_SUBTYPE_Normal-like	0	0	0					10.664828	INSUFFICIENT_N	
