arm	gis	sbs3	fitted_lr	true_lr	log_residual
CORE_HR	20.0	0.05	0.19361360947116418	0.19715229586475036	-0.018112036297707856
CORE_HR	20.0	0.15	0.4543461157172189	0.4183784429882573	0.08247288807780262
CORE_HR	20.0	0.3	1.633289712883324	1.3098085972066993	0.22071519215830365
CORE_HR	20.0	0.45	5.871372493191523	4.180738762322248	0.33960045304520614
CORE_HR	20.0	0.6	21.10649120109203	13.667688785516821	0.4345460686089786
CORE_HR	30.0	0.05	0.3376191418077183	0.41837844298825716	-0.21446792814692994
CORE_HR	30.0	0.15	0.7922787354210434	0.8936457732497558	-0.12039620130348092
CORE_HR	30.0	0.3	2.8480945770972235	2.832523633032798	0.005482143839182996
CORE_HR	30.0	0.45	10.238369853230765	9.182451492290076	0.10884819684612168
CORE_HR	30.0	0.6	36.805033826644184	30.55501409410189	0.18610582497098438
CORE_HR	42.0	0.05	0.6579857342687874	1.0410591188070422	-0.45881060675535135
CORE_HR	42.0	0.15	1.5440715318459584	2.245194324776685	-0.3743692969235732
CORE_HR	42.0	0.3	5.550649739657111	7.243192150573085	-0.2661470228883138
CORE_HR	42.0	0.45	19.953552602269763	23.972662826827044	-0.18350692947243674
CORE_HR	42.0	0.6	71.7293074010725	81.4911503588981	-0.12759501534415474
CORE_HR	55.0	0.05	1.3556732042899888	2.832523633032801	-0.7368698967226506
CORE_HR	55.0	0.15	3.1813097035557707	6.187198636965228	-0.6651894531051714
CORE_HR	55.0	0.3	11.436216207353878	20.404859793211024	-0.5789879175004562
CORE_HR	55.0	0.45	41.111068499606105	69.12224757649209	-0.5195992491826962
CORE_HR	55.0	0.6	147.78663873917543	239.88050835009557	-0.48437131400817
CORE_HR	70.0	0.05	3.121704441532193	9.182451492290067	-1.0789150680528086
CORE_HR	70.0	0.15	7.325591890473897	20.404859793211052	-1.0243991418375584
CORE_HR	70.0	0.3	26.33413924229371	69.12224757649226	-0.9650104735197931
CORE_HR	70.0	0.45	94.66632867363363	239.88050835009628	-0.9297825383452754
CORE_HR	70.0	0.6	340.30783015500464	847.273890626458	-0.9121734171300551
DDR_SIGNALING	20.0	0.05	0.5931213462165217	0.717315568911539	-0.1901168586582201
DDR_SIGNALING	20.0	0.15	1.0314880050616622	1.2357049272874339	-0.18063917374112923
DDR_SIGNALING	20.0	0.3	2.365620763671925	2.8211479712093475	-0.17610341724766254
DDR_SIGNALING	20.0	0.45	5.42532881628731	6.53536998835978	-0.1861504530150313
DDR_SIGNALING	20.0	0.6	12.442481574751454	15.409017154164575	-0.2138363166375168
DDR_SIGNALING	30.0	0.05	0.8246784320901626	1.0154348855928528	-0.2080787273594949
DDR_SIGNALING	30.0	0.15	1.434185291357781	1.7546856477700956	-0.20169277602312702
DDR_SIGNALING	30.0	0.3	3.2891691299755035	4.029335047701809	-0.20296637297196907
DDR_SIGNALING	30.0	0.45	7.543400166474681	9.401721696353043	-0.22021980085775983
DDR_SIGNALING	30.0	0.6	17.300079084712177	22.34833839405097	-0.25604090064674523
DDR_SIGNALING	42.0	0.05	1.2247682940841444	1.5448511744788567	-0.2321759000921973
DDR_SIGNALING	42.0	0.15	2.1299752780545576	2.6808335413033935	-0.23001739593275716
DDR_SIGNALING	42.0	0.3	4.884898049369498	6.204176316151221	-0.23907424952638334
DDR_SIGNALING	42.0	0.45	11.203054419734281	14.611334808331256	-0.26561112707181467
DDR_SIGNALING	42.0	0.6	25.693152050067308	35.076413377460554	-0.3113044218422214
DDR_SIGNALING	55.0	0.05	1.8799112286984763	2.442707308339123	-0.2618824198549653
DDR_SIGNALING	55.0	0.15	3.26932405207236	4.261217618560883	-0.2649716937572477
DDR_SIGNALING	55.0	0.3	7.497887346050206	9.954447549486462	-0.2833981475307441
DDR_SIGNALING	55.0	0.45	17.195699709982563	23.69263672000633	-0.3205049772498394
DDR_SIGNALING	55.0	0.6	39.43672062126447	57.470353675881896	-0.3765718488671075
DDR_SIGNALING	70.0	0.05	3.0821158945353866	4.166868933338478	-0.30154855859430296
DDR_SIGNALING	70.0	0.15	5.360059279105047	7.319320288079524	-0.31154243228594347
DDR_SIGNALING	70.0	0.3	12.292792027576985	17.300926133455594	-0.3417469572096965
DDR_SIGNALING	70.0	0.45	28.192362801347702	41.687324963341815	-0.39114600626887386
DDR_SIGNALING	70.0	0.6	64.6565335637165	102.22336798445205	-0.4580711405390181
